Country,Gold,Silver,Bronze
AUS,0,2,1
AUT,4,12,11
BLR,5,0,1
CAN,63,22,5
CHN,3,4,6
CRO,0,1,0
CZE,2,7,2
FIN,2,7,25
FRA,4,4,10
GBR,1,5,6
GER,15,12,9
ITA,0,2,12
JPN,1,4,6
KAZ,0,0,1
KOR,7,5,2
LAT,0,5,6
NED,13,7,9
NOR,18,5,13
POL,4,4,3
RUS,33,22,13
SLO,2,2,4
SUI,6,4,22
SVK,1,0,0
SWE,8,35,12
UKR,4,0,1
USA,10,31,24
