"Code","Medal"
"BEL","Bronze"
"BLR","Bronze"
"BLR","Gold"
"BLR","Gold"
"BLR","Bronze"
"BLR","Silver"
"BLR","Gold"
"BLR","Gold"
"BLR","Silver"
"BLR","Bronze"
"BLR","Gold"
"BLR","Bronze"
"BLR","Silver"
"BLR","Gold"
"BLR","Bronze"
"BLR","Silver"
"BUL","Bronze"
"BUL","Silver"
"BUL","Bronze"
"BUL","Gold"
"BUL","Silver"
"BUL","Bronze"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Bronze"
"CAN","Silver"
"CAN","Silver"
"CAN","Bronze"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Bronze"
"CAN","Gold"
"CAN","Silver"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Bronze"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Bronze"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Bronze"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Gold"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Silver"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Gold"
"CAN","Bronze"
"CAN","Silver"
"CAN","Silver"
"CAN","Bronze"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Silver"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Gold"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Bronze"
"CAN","Gold"
"CAN","Silver"
"CAN","Bronze"
"CAN","Silver"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Gold"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
"CAN","Bronze"
"CAN","Gold"
"CAN","Gold"
"CAN","Bronze"
"CAN","Silver"
"CAN","Silver"
"CAN","Silver"
